Title,Date,Duration,Genres,Director,Crew,Synopsis,Note_Ac,User_score_2
Indiana Jones et le Cadran de la Destinée,28 juin 2023,2h 34min,[],N/A,"['Harrison Ford', 'Phoebe Waller-Bridge']","Indiana Jones, le célèbre professeur d'archéologie, reçoit la visite surprise de sa filleule qui lui subtilise une relique, l'obligeant à se lancer à sa poursuite.","3,6","3,5"
Si seulement je pouvais hiberner,10 janvier 2024,1h 38min,[],N/A,"['Battsooj Uurtsaikh', 'Nominjiguur Tsend']","Ulzii, un adolescent d’un quartier défavorisé d’Oulan-Bator, est déterminé à gagner un concours de sciences pour obtenir une bourse d’étude. Sa mère, illettrée, trouve un emploi à la campagne les abandonnant lui, son frère et sa sœur, en dépit de la dureté de l’hiver. Déchiré entre la nécessité de s’occuper de sa fratrie et sa volonté d’étudier pour le concours, Ulzii n’a pas le choix : il doit accepter de se mettre en danger pour subvenir aux besoins de sa famille.","3,6","3,9"
Le Plongeur,3 janvier 2024,2h 07min,[],N/A,"['Henri Richer-Picard', 'Charles-Aubey Houde']","Stéphane, 19 ans, rêve de devenir illustrateur. Accro aux jeux d’argent, il s’engouffre dans une spirale infernale. Endetté, sans appartement, fuyant ses amis à qui il doit de l'oseille, il trouve un job de plongeur au restaurant La Trattoria pour s’en sortir.","2,6","3,2"
L'Appel de la forêt,19 février 2020,1h 40min,[],N/A,['Omar Sy'],"La paisible vie domestique de Buck, un chien au grand cœur, bascule lorsqu’il est brusquement arraché à sa maison en Californie et se retrouve enrôlé comme chien de traîneau dans les étendues sauvages du Yukon canadien pendant la ruée vers l’or des années 1890. Buck va devoir s’adapter et lutter pour survivre, jusqu’à finalement trouver sa véritable place dans le monde en devenant son propre maître…","3,2","3,7"
Krisha et le Maître de la forêt,17 janvier 2024,1h 08min,[],N/A,"['Gil-woo Kang', 'Ye-eun Kim']","Éleveuse de rennes nomade, la jeune Krisha vit avec sa famille sur les steppes de la toundra sibérienne. Lorsque sa mère tombe malade, Krisha écoute les conseils d'une vieille chamane et part à la recherche d'un mystérieux ours rouge qui lui est apparu en rêve.","3,5","3,0"
Noël Joyeux,6 décembre 2023,1h 26min,[],N/A,"['Franck Dubosc', 'Emmanuelle Devos']","Quand ses enfants annulent leur venue au réveillon de Noël au dernier moment, Vincent décide de se rendre dans une maison de retraite afin de convier une pensionnaire à venir fêter Noël chez lui et sa femme. Débarquent alors Monique et sa meilleure amie qui vont très vite prendre leurs aises.","2,8","2,6"
Je verrai toujours vos visages,29 mars 2023,1h 58min,[],N/A,"['Birane Ba', 'Leïla Bekhti']","Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel.","4,1","4,4"
Simple comme Sylvain,8 novembre 2023,1h 50min,[],N/A,"['Magalie Lépine Blondeau', 'Pierre-Yves Cardinal']","Sophia est professeure de philosophie à Montréal et vit en couple avec Xavier depuis 10 ans. Sylvain est charpentier dans les Laurentides et doit rénover leur maison de campagne. Quand Sophia rencontre Sylvain pour la première fois, c’est le coup de foudre. Les opposés s'attirent, mais cela peut-il durer ?","3,7","3,9"
Aquaman,19 avril 2018,2h 24min,[],N/A,"['Jason Momoa', 'Amber Heard']","Les origines d’un héros malgré lui, dont le destin est d’unir deux mondes opposés, la terre et la mer. Cette histoire épique est celle d’un homme ordinaire destiné à devenir le roi des Sept Mers.","2,7","3,4"
Sirocco et le royaume des courants d'air,13 décembre 2023,1h 20min,[],N/A,"['Loïse Charpentier', 'Maryne Bertieaux']","Juliette et Carmen, deux sœurs intrépides de 4 et 8 ans, découvrent un passage secret vers Le Royaume des Courants d’Air, leur livre favori. Transformées en chats et séparées l’une de l’autre, elles devront faire preuve de témérité et d’audace pour se retrouver.","3,7","4,1"
Animal,17 janvier 2024,1h 56min,[],N/A,"['Dimitra Vlagkopoulou', 'Flomaria Papadaki']","Sous le soleil brûlant d’une île grecque, les animateurs d’un hôtel all-inclusive menés par la charismatique Kalia se préparent pour la saison. Décors en carton-pâte, costumes pailletés et spectacles de danse envahissent la scène. À mesure que l’été avance, la pression augmente, les nuits s’enchaînent, et les démons de Kalia se réveillent. Lorsque les projecteurs s’allument, the show must go on… mais cela a-t-il toujours un sens pour elle ?","3,6","2,2"
Le Règne animal,4 octobre 2023,2h 08min,[],N/A,"['Romain Duris', 'Paul Kircher']","Dans un monde en proie à une vague de mutations qui transforment peu à peu certains humains en animaux, François fait tout pour sauver sa femme, touchée par ce phénomène mystérieux. Alors que la région se peuple de créatures d'un nouveau genre, il embarque Émile, leur fils de 16 ans, dans une quête qui bouleversera à jamais leur existence.","4,3","4,0"
Silent Night,28 décembre 2023,1h 44min,[],N/A,"['Joel Kinnaman', 'Kid Cudi']","Godlock est en mission pour venger son jeune fils, qui a été tragiquement abattu lors d'une guerre de gangs la veille de Noël.","2,6","2,1"
Dans 5 ans,3 janvier 2024,1h 00min,[],N/A,"['Hakim Jemili', 'Fadily Camara']","Entre Kemili et Jemili, il y a une lettre... et 5 ans d'écart. Ça ne semble pas si loin, mais pourtant. Dans 5 ans, ça change tout. Des amis attribués aux positions sexuelles non validées, Des supporters vénérés aux profs pas préparés, Des produits Made in Ici au Cinéma réalité, Ça reste la France, ça ressemble à aujourd'hui, mais dans 5 ans, c'est quand même le futur.","2,4",--
Le Monde après nous,20 avril 2022,1h 25min,[],N/A,"['Aurélien Gabrielli', 'Louise Chevillotte']","Labidi est un jeune d’aujourd’hui : il va de petites magouilles en jobs d’appoint, habite en colocation dans une chambre de bonne et se rêve écrivain. Mais sa rencontre avec Elisa l’oblige à repenser son train de vie au-dessus de ses moyens.","3,4","3,3"
Scrapper,10 janvier 2024,1h 24min,[],N/A,"['Harris Dickinson', 'Lola Campbell']","Banlieue de Londres. Géorgie 12 ans vit seule depuis la mort de sa mère. Elle se débrouille au quotidien pour éloigner les travailleurs sociaux, raconte qu’elle vit avec un oncle, gagne de l’argent en faisant un trafic de vélo avec son ami Ali. Cet équilibre fonctionne jusqu’à l’arrivée de Jason, un jeune homme qu’elle ne connait pas et se présente comme étant son père.","3,4","3,5"
